	roberta	bert	electra
cola	0.2832941988762969	0.03487653931764297	0.5946801548269132
mrpc	0.286710072981135	0.12498792712963942	0.4347863881855981
qnli	0.06787145651036376	0.33495422392825047	0.1828650566899072
qqp	0.8465654156470974	0.24978938915369275	0.8198645929815896
rte	0.2638560679704744	0.3358062103232975	0.9556334645741147
sst	0.1105332188842073	0.8382997497768873	0.29364509142297135
