	category	HR@1	W_HR@1	HR@3	W_HR@3	HR@5	W_HR@5	jaccard	const_cos	cos
0	UsedFor	0.10003753753753754	0.10003753753753754	0.060623123123123124	0.0869871858867635	0.04662162162162162	0.08158300416723188	0.32329757191678543	0.44419469290938457	0.5014622186551956
1	MadeOf	0.022727272727272728	0.022727272727272728	0.0303030303030303	0.02946081852708971	0.027272727272727275	0.028494187057618674	0.37231608430169505	0.5041821182520063	0.6509686657908983
2	CapableOf	0.09344262295081968	0.09344262295081968	0.05915300546448088	0.0811260878073729	0.047540983606557376	0.07512542505869589	0.40056331172628895	0.5408821226790133	0.6464744176847482
3	IsA	0.09189189189189188	0.09189189189189188	0.06093951093951094	0.07924614308490767	0.047567567567567574	0.07321040013455557	0.32496489415404517	0.4458245191753301	0.5428854656818911
4	HasA	0.09716274089935761	0.09716274089935761	0.062455389007851525	0.08132064410776933	0.04962526766595289	0.07552691808293026	0.24877618377963334	0.3406260989647045	0.42427618994599525
5	NotDesires	0.03	0.03	0.02952380952380952	0.03308559850503622	0.02442857142857143	0.03171909693503293	0.46083570528427453	0.5946614894350764	0.6910521045691299
6	PartOf	0.0516109785202864	0.0516109785202864	0.03172235481304694	0.0439112889040993	0.02398568019093079	0.04061144964295941	0.35889057845475925	0.4859105122839021	0.6183200063049493
