	model_name	HR@1	W_HR@1	HR@3	W_HR@3	HR@5	W_HR@5	jaccard	const_cos	cos
0	baseline	0.009084556254367574	0.009084556254367574	0.009550430934078731	0.011667221694747754	0.008106219426974143	0.011770271303073945	0.008789582910741408	0.016917974038787833	0.011029619574913132
1	bert-base	0.08303571428571428	0.08303571428571428	0.05515873015873015	0.07295968338405032	0.04321428571428572	0.06762945867880983	0.2838495383164991	0.388005913580361	0.4716235740190037
2	albert-base	0.03660714285714286	0.03660714285714286	0.03244047619047619	0.03655656135398855	0.028095238095238097	0.03527027680761599	0.29180419040583605	0.4090271581576605	0.542218313982197
3	roberta-base	0.09970238095238096	0.09970238095238096	0.05932539682539682	0.08334836315663986	0.04583333333333333	0.07711128725619398	0.341924104634768	0.4682966534175656	0.5448444022116942
4	electra-small	0.05238095238095238	0.05238095238095238	0.03869047619047619	0.046587835040582094	0.03125	0.04302876278615664	0.3943062803394072	0.5263094711785766	0.6341681018587035
5	bert-large	0.11547619047619048	0.11547619047619048	0.06676587301587301	0.09658661795436373	0.052261904761904766	0.09095174943570829	0.3040045558235621	0.4161011488660755	0.49294254932192977
6	albert-large	0.07976190476190476	0.07976190476190476	0.0552579365079365	0.06894422573245451	0.04267857142857144	0.06320801359107524	0.34824719372145096	0.4665398259594075	0.5725216626583582
7	roberta-large	0.1363095238095238	0.1363095238095238	0.08015873015873015	0.11520972088065733	0.05946428571428572	0.1059661263440774	0.3231736319532194	0.44653685198612963	0.5179861379114639
8	electra-large	0.08035714285714286	0.08035714285714286	0.05496031746031745	0.07132707696323938	0.04375	0.06643771051509774	0.37412821982173927	0.5018451879107193	0.5899199263545267
