	model_name	HR@1	W_HR@1	HR@3	W_HR@3	HR@5	W_HR@5	jaccard	const_cos	cos
0	baseline	0.004866518353726363	0.004866518353726363	0.0033370411568409346	0.004735343989361878	0.0027808676307007787	0.004953843430936055	0.0017045142375834933	0.00290013263718253	0.0023821070367053216
1	bert-base	0.3000952899537163	0.3000952899537163	0.16941192485706508	0.25400490215586613	0.12153552953988567	0.23374154601271235	0.24689937434622633	0.36028432486607964	0.6045418713080901
2	albert-base	0.10223250748706779	0.10223250748706779	0.07178509846628552	0.08798659169403525	0.05687448951810509	0.08010239084331493	0.2695548642951406	0.40568270714102994	0.7679119524166272
3	roberta-base	0.15525456030492785	0.15525456030492785	0.09878391868590616	0.1283151243105454	0.07515654778110537	0.11526057925379027	0.2564765299486348	0.3845449677644808	0.5137174217545525
4	electra-small	0.3673427715763681	0.3673427715763681	0.19922406751973865	0.3132790492336134	0.13890552681731555	0.2885014583233021	0.23363154128335545	0.353280661649881	0.5761522834785279
5	bert-large	0.4255377075959706	0.4255377075959706	0.23035211906706599	0.34899910013413993	0.16437517016063163	0.315896791737669	0.42423774664483893	0.5586622546877672	0.7539738868581871
6	albert-large	0.43942281513748976	0.43942281513748976	0.21998366457936291	0.367865949569309	0.1476041383065614	0.3345116339454919	0.20130892252228524	0.30586464971983035	0.6149198284228593
7	roberta-large	0.32500680642526547	0.32500680642526547	0.19092022869588893	0.27108676646443186	0.1417233868772121	0.24679608706154266	0.42965117057298896	0.5677161622933677	0.7373002737299901
8	electra-large	0.34842090933841546	0.34842090933841546	0.18522551955712857	0.2731264845475799	0.1349441873128233	0.24492133575688782	0.33614040857758226	0.47885238881500614	0.6989267910792145
