	category	HR@1	W_HR@1	HR@3	W_HR@3	HR@5	W_HR@5	jaccard	const_cos	cos
0	Ask_Antonym	0.39747542448614837	0.39747542448614837	0.20793863568662496	0.32517352423382917	0.14672698838248435	0.29475118435387293	0.2976608842676023	0.4240506419238477	0.654122689385269
1	Ask_Synonym	0.021737578526556254	0.021737578526556254	0.05175613934894345	0.03321920081570154	0.04567390062821245	0.03344709877206123	0.30637323819628726	0.4358410461529862	0.6721954823945123
2	Noun	0.3800080938891137	0.3800080938891137	0.20776423175502495	0.31467866697775315	0.14887950222581953	0.28625230885709535	0.31945100339910315	0.4509538377623734	0.7088675259649271
3	Adjective	0.17768877297565822	0.17768877297565822	0.10373199205166418	0.14866467864410263	0.07500000000000001	0.1351472858570538	0.263639546018975	0.3829044810710803	0.5617833952916172
4	Adverb	0.06713554987212277	0.06713554987212277	0.0472080136402387	0.05910158159062136	0.036253196930946294	0.05367864349816855	0.23641668190375892	0.34864559273675844	0.5185100990861283
